"filename", "language", "JSON", "Ignore", "Shell Script", "Markdown", "TypeScript", "YAML", "Docker", "Ruby", "JavaScript", "HTML", "CSS", "erb", "TypeScript JSX", "comment", "blank", "total"
"/home/leong/Desktop/Projects/gossip/app/helpers/api/v1/auth_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/helpers/api/v1/categories_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/helpers/api/v1/comments_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/helpers/api/v1/posts_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/helpers/api/v1/replies_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/helpers/api/v1/users_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/helpers/application_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/helpers/homepage_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/models/application_record.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/leong/Desktop/Projects/gossip/app/models/category.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/leong/Desktop/Projects/gossip/app/models/comment.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/leong/Desktop/Projects/gossip/app/models/post.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/leong/Desktop/Projects/gossip/app/models/reply.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/leong/Desktop/Projects/gossip/app/models/user.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/home/leong/Desktop/Projects/gossip/app/views/api/v1/categories/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/views/api/v1/comments/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/views/api/v1/posts/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/views/api/v1/replies/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/home/leong/Desktop/Projects/gossip/app/views/homepage/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/leong/Desktop/Projects/gossip/app/views/layouts/application.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"/home/leong/Desktop/Projects/gossip/config.ru", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"/home/leong/Desktop/Projects/gossip/config/application.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 18, 6, 38
"/home/leong/Desktop/Projects/gossip/config/boot.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/home/leong/Desktop/Projects/gossip/config/database.yml", "YAML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 59, 10, 87
"/home/leong/Desktop/Projects/gossip/config/environment.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 6
"/home/leong/Desktop/Projects/gossip/config/environments/development.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 21, 18, 63
"/home/leong/Desktop/Projects/gossip/config/environments/production.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 35, 21, 76
"/home/leong/Desktop/Projects/gossip/config/environments/test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 20, 14, 51
"/home/leong/Desktop/Projects/gossip/config/initializers/assets.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 4, 13
"/home/leong/Desktop/Projects/gossip/config/initializers/content_security_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 6, 35
"/home/leong/Desktop/Projects/gossip/config/initializers/cors.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/leong/Desktop/Projects/gossip/config/initializers/filter_parameter_logging.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 2, 9
"/home/leong/Desktop/Projects/gossip/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"/home/leong/Desktop/Projects/gossip/config/initializers/permissions_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"/home/leong/Desktop/Projects/gossip/config/locales/en.yml", "YAML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 30, 2, 34
"/home/leong/Desktop/Projects/gossip/config/puma.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 28, 8, 44
"/home/leong/Desktop/Projects/gossip/config/routes.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 9, 33
"/home/leong/Desktop/Projects/gossip/config/vite.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/leong/Desktop/Projects/gossip/db/migrate/20231223043724_create_comments.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/leong/Desktop/Projects/gossip/db/migrate/20231223140317_create_posts.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/leong/Desktop/Projects/gossip/db/migrate/20231228052241_link_comments_to_post.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
